station_id,lat,lng,capacity
Adugodi,12.933851865333333,77.6194345375,12
Ashok Nagar,12.96233147797619,77.60982010589285,12
Banashankari,12.923206667058823,77.55685243441177,12
Banaswadi,13.000783136528925,77.65670869586778,12
Basavanagudi,12.942620511702128,77.57138083638297,12
Bellandur,12.91906079631579,77.6697793548421,12
Byatarayanapura,12.949366455,77.53425883135135,12
Chamarajpet,12.965557016542554,77.56366912851064,12
Chikkabanavara,13.048084843504272,77.50626080239317,12
Chikkajala,13.164904378472222,77.64050909833333,12
City Market,12.961732052222223,77.57835003444444,12
Cubbon Park,12.978168624950982,77.59555243857842,12
Devanahalli Airport,13.237648990833334,77.70180380055555,12
Electronic City,12.85140812801653,77.66464176429751,12
HAL Old Airport,12.953047783870055,77.69717363737288,12
HSR Layout,12.910225844827586,77.63160690715516,12
Halasur,12.969269432413792,77.62588046689656,12
Halasuru Gate,12.967166316190475,77.58727440955782,12
Hebbala,13.04402546637037,77.59572280896296,12
Hennuru,13.044606077545788,77.6333875838828,12
High ground,12.988777518777779,77.58560112794444,12
Hulimavu,12.872833716982758,77.6045444311207,12
J.P. Nagar,12.903281966935484,77.59022278629033,12
Jalahalli,13.04346798628866,77.54870985489691,12
Jayanagara,12.920923593409093,77.58770979301136,12
Jeevanbheemanagar,12.97316983528,77.64559054383999,12
Jnanabharathi,12.960835579389313,77.50778073435114,12
K.G. Halli,13.030608808333334,77.62033612777778,12
K.R. Pura,13.016152656973684,77.70573023122807,12
K.S. Layout,12.909227646162789,77.55790983011629,12
Kamakshipalya,12.987768709406392,77.5083153879452,12
Kengeri,12.913604197000002,77.4852449295,12
Kodigehalli,13.047090135904059,77.58578318132842,12
Madiwala,12.917823054863389,77.62138875519126,12
Magadi Road,12.973660142086331,77.55649520294963,12
Mahadevapura,12.99278235675,77.71789089058333,12
Malleshwaram,13.005118298734176,77.5618700721519,12
Mico Layout,12.91339087112069,77.60488569698276,12
No Police Station,13.03607812093458,77.49998072794394,12
Peenya,13.038821935955056,77.51459824264045,12
Pulikeshinagar(F.Town),12.996772467101449,77.61430740913043,12
R.T. Nagar,13.0155003208,77.5895836416,12
Rajajinagar,13.005000025490196,77.54090340882352,12
Sadashivanagar,13.01033361372093,77.57970774418605,12
Sheshadripuram,12.986802289830509,77.57270779152543,12
Shivajinagar,12.983046825842697,77.60235896292134,12
Thalagattapura,12.872427980681818,77.54894988272727,12
Upparpet,12.976804618333334,77.577189205,12
V.V.Puram (C.Pet),12.958232068648648,77.57295234567569,12
Vijayanagara,12.97928141137931,77.5421877913793,12
Whitefield,12.950689941843576,77.74079417670391,12
Wilson Garden,12.947583635142857,77.59252780209523,12
Yelahanka,13.101418912122016,77.59602580867374,12
Yeshwanthpura,13.026194803189965,77.54479660318997,12
